OTU	C_01_L	C_02_D	C_03_D	C_04_D	C_05_L	C_06_D	C_07_L	C_08_L	C_09_D	C_10_D	C_11_L	C_12_D	C_13_L	C_14_L	C_15_D	C_16_L	C_17_L	C_18_D	C_19_D	C_20_D	C_21_D	C_22_L	C_23_L	C_24_D	C_25_L	C_26_L	F_01_L	F_02_D	F_03_D	F_04_D	F_05_L	F_06_D	F_07_L	F_08_L	F_09_D	F_10_D	F_11_L	F_12_D	F_13_L	F_14_L	F_15_D	F_16_L	F_17_L	F_18_D	F_19_D	F_20_D	F_21_D	F_22_L	F_23_L	F_24_D	F_25_L	F_26_L	S_01_L	S_02_D	S_03_D	S_04_D	S_05_L	S_06_D	S_07_L	S_08_L	S_09_D	S_10_D	S_11_L	S_12_D	S_13_L	S_14_L	S_15_D	S_16_L	S_17_L	S_18_D	S_19_D	S_20_D	S_21_D	S_22_L	S_23_L	S_24_D	S_25_L	S_26_L
DENOVO15	6	1912	1	186	240	0	64	451	202	310	56	1	685	333	31	0	740	2015	213	278	693	543	514	0	839	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	685	880	199	1073	2	202	622	3330	1506	2310	59	4755	1011	275	1	3665	2530	487	7076	1945	1144	5680	393	3023	1730
DENOVO16	1	1940	2600	453	559	33	8447	1600	400	345	26	5	971	12406	198	175	1	70	206	9930	855	994	2063	0	968	124	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	2	3	0	0	1	1	1	4	0	1	14
DENOVO17	2	250	87	159	0	0	69	24	1	0	0	0	0	13	1	43	1	24	7217	7959	0	71	30	0	49	8	0	57	91	0	0	0	2013	1	3131	102	2	1481	557	0	43	349	49	0	0	0	43	3079	853	158	2162	103	0	45	13	30	1	4	2	0	1	0	46	7	1	1	1	699	0	58	0	6	0	20	0	0	3	0
DENOVO18	1	310	0	3945	1861	0	100	6095	1	690	0	5923	2851	43	24	67	413	18	0	1704	7850	224	125	0	3978	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
DENOVO19	0	57	9	33	0	0	37	2	66	0	0	126	11	30	54	154	1244	1314	72	4	6	38	174	0	257	144	0	0	2	1	1	1	1	3	9	2	17	0	2	2	1	4	22	4	0	0	1	12	26	28	3	0	1	164	474	732	583	1	2268	563	676	2713	484	148	9	4783	282	175	697	2021	1853	265	47	3940	2282	2478	1782	1701
DENOVO20	3	0	202	0	29	1	228	18	0	33	0	0	19	0	0	0	0	0	237	249	0	0	0	0	21	0	570	7	318	301	40	1607	1269	452	2164	1100	1304	2	671	214	1184	274	1221	290	198	1219	0	333	10989	3265	2258	24	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO21	61	441	154	196	22	61	110	0	0	31	73	0	1	32	106	0	0	4	409	613	0	0	4	0	26	3	437	174	698	93	183	333	795	826	2026	382	633	226	1219	869	321	102	325	379	201	1527	2618	549	886	2414	258	1	0	0	0	3	0	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVO22	2	0	0	239	96	0	181	12	0	74	0	388	6	35	106	58	248	320	54	25	351	721	409	0	36	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1608	45	299	2398	200	1	63	200	772	67	613	162	405	40	173	2	9568	543	156	2626	668	506	5986	537	137	159
DENOVO23	0	0	147	138	52	0	5	0	0	4	0	13	19	12	0	0	92	45	25	22	240	91	0	0	421	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	48	2141	4748	430	30	1532	169	772	1677	137	165	2482	235	636	685	560	920	282	707	17	796	860	783	3271	421
DENOVO24	0	0	21	7	0	0	322	0	0	0	0	0	34	2	42	10	0	0	16	66	0	0	0	0	11	0	1574	0	11	0	0	17	9	3	0	4744	0	15	3	10	6	4	1974	5584	5	4	1	2	0	0	3515	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
