;SF1;SF48;SF11;SF16;SF12;SF07;SF13;SF14;SF27;SF15;SF47;SF18;SF19;SF2;SF21;SF22;SF23;SF24;SF56;SF25;SF67;SF28;SF29;SF3;SF31;SF32;SF33;SF34;SF35;SF36;SF37;SF38;SF4;SF40;SF41;SF42;SF43;SF44;SF45;SF46;SF49;SF5;SF51;SF52;SF53;SF54;SF55;SF58;SF59;SF6;SF61;SF62;SF63;SF64;SF65;SF68;SF69;SF71;SF72;SF73;SF74;SF75;SF76;SF77;SF78;SF08;SF80;SF9;Kingdom;Phylum;Class;Order;Family;Genus;Species
3f3a0eaeea9c0690b6ede1b17b4fd8ce;5118;0;0;1201;2971;0;0;0;649;1552;1393;1371;434;59;2150;551;1049;4485;903;4454;100;3877;1146;145;973;2470;1449;98;0;0;553;4806;0;3625;0;117;950;0;3914;2661;3828;1168;0;11674;0;0;4021;2690;305;5240;5480;222;4447;831;586;511;1111;334;465;1561;123;0;0;405;1119;614;123;5327;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_adolescentis
8f6e2a91e20994c00566a5ff2b49506e;1037;1335;1518;530;412;699;797;654;1218;1312;420;313;1164;445;744;240;374;639;5194;521;491;2040;2087;164;549;617;781;1671;1135;7439;906;723;704;80;1746;988;397;3211;3129;3411;792;413;2009;2273;1105;320;596;753;1339;1170;2866;207;501;893;52;3213;2028;440;238;196;283;182;418;92;437;3698;13;907;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;NA
dfa833b266bd2993b86feab3617b34c3;0;97;0;35;0;38;5761;0;0;0;0;1429;3256;725;644;0;1674;1228;0;229;0;0;7966;0;0;0;0;0;11423;11;0;31;1154;0;0;4503;0;1000;0;0;0;0;4;0;6789;0;0;306;5637;0;3422;0;1897;264;90;0;1373;0;0;0;0;300;0;0;0;51;0;14;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia_muciniphila
b264ac8ff5f9aff74f0b9aa084d9a9f0;0;1142;647;375;195;162;1146;87;368;563;215;2544;67;168;1634;160;505;979;0;760;2920;0;410;793;42;0;2517;96;357;1317;202;1030;869;0;584;773;1549;3661;586;377;472;637;373;1405;186;24;165;3965;560;344;1747;93;554;1438;972;0;1559;315;230;1225;85;1504;140;533;218;736;0;420;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;NA
c5be3cbb0c4c3ad43d1c9902233d0993;282;321;0;315;145;320;174;717;1568;983;424;117;1735;814;209;91;188;755;0;338;164;0;983;19;179;390;976;75;540;0;374;444;2819;0;987;3017;31;8243;3613;0;447;504;0;824;211;897;800;230;1070;0;443;34;760;707;25;0;1618;206;68;347;0;198;0;176;828;0;0;495;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelotrichaceae_UCG-003;NA
c7d1ed6c70202259164edf3ee7806f0c;857;1658;1698;1188;1100;269;610;135;609;414;184;311;342;265;320;241;225;567;380;883;215;0;104;100;513;631;542;416;849;1509;231;2105;407;0;882;713;295;780;2997;0;763;623;1908;2195;1033;407;497;1159;494;0;973;242;574;706;44;130;279;470;224;334;57;142;55;164;470;1628;0;1270;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;NA
df3d6113f855e22f2a6d44e60f01baa7;56;1394;190;665;568;204;1013;307;208;793;4078;206;978;3300;656;703;1206;231;294;557;0;363;58;288;729;343;32;3462;1084;65;617;712;896;0;58;2152;1097;8;276;0;334;242;1868;318;1723;520;1434;704;691;7;1476;199;112;832;5;28;73;327;69;5;122;39;11;37;183;0;0;617;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia;NA
4abaa483334092f021534a979086baeb;436;0;175;415;613;530;0;441;1912;2070;0;603;0;134;211;979;0;0;160;25;0;289;416;74;36;62;2837;71;142;178;128;0;1025;1106;41;265;33;1308;156;1052;0;0;209;492;0;1836;552;613;0;236;462;1087;0;0;73;1394;265;47;357;3297;33;2596;292;62;106;0;9508;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_dorei
4516aa60a483dd8c7bbc57098c45f1a5;118;462;971;173;405;140;353;225;408;189;141;694;277;160;739;159;1067;220;0;300;1080;0;1135;694;633;189;486;2280;334;0;2923;125;195;0;789;176;1070;507;3330;0;1687;510;1121;1310;607;54;104;1057;308;0;2794;58;238;2004;216;0;1379;517;351;455;707;816;0;136;232;0;0;1125;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
3534b4be198dac95882f6e730b647c60;1679;115;252;494;594;829;716;620;0;0;398;232;747;356;1213;137;532;370;794;358;634;0;1013;266;820;654;554;271;0;0;485;1054;670;740;3372;717;668;1818;2232;136;444;607;502;1437;783;532;0;557;629;120;3575;198;555;0;47;209;847;630;124;77;79;43;0;148;426;648;26;564;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium]_hallii_group;NA
15e05255b2aa8ee3524ca61eb207bb18;1498;0;0;635;379;0;641;0;279;228;906;370;702;663;747;233;121;449;137;734;528;0;72;144;692;248;743;659;0;0;199;1199;525;3258;2317;1201;230;1077;1518;715;507;186;0;2023;202;0;455;417;447;887;2065;102;492;543;56;1338;775;462;147;44;508;0;0;422;1678;1198;111;427;d__Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;NA
bbae6ed124f4d6b48435a964a95c8418;593;90;1132;56;147;166;158;626;613;482;65;1151;693;438;98;174;434;0;0;213;1081;0;764;146;179;368;1977;755;891;1023;57;123;607;133;1813;982;126;1746;1163;0;958;323;299;889;852;0;56;2503;1448;0;826;110;32;374;145;0;2164;419;644;2823;513;1377;193;0;448;0;0;719;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ad89a9d5fec4408fafb73e7225f44d08;858;640;464;529;427;21;1118;155;1200;803;2127;122;444;621;501;242;235;675;0;640;853;0;337;321;238;217;357;994;0;0;309;839;536;0;2056;1790;980;1780;226;0;374;189;593;689;804;9;1550;233;263;0;1251;334;882;141;116;0;609;370;203;512;379;0;0;475;249;2928;0;98;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;uncultured_bacterium
ffc36e27c82042664a16bcd4d380b286;700;0;0;1415;1258;2611;3;906;0;406;24;0;34;16;0;1199;156;196;32;0;188;582;0;0;0;2;221;9;0;7752;0;57;27;0;173;606;4;23;0;1280;0;48;157;13;170;1440;241;0;210;522;5;539;10;197;0;211;170;524;69;70;9;0;10859;48;335;44;28;3;d__Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
22f4ee9a41a4d73580bf7ade8e9e017a;425;70;303;57;287;35;86;72;1618;753;33;562;218;65;291;83;737;663;0;468;93;0;336;400;102;364;859;644;59;1593;102;483;1324;94;1750;50;550;1416;308;0;578;166;903;595;200;15;192;1742;219;0;2653;25;570;617;2186;0;260;385;488;1456;297;76;3060;119;330;0;117;660;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
b6a1cfc87c3ffa7f96227d4a372d8dd7;378;291;127;471;444;839;1405;447;149;111;221;64;846;2091;233;127;523;485;0;374;44;0;0;372;806;2921;100;1534;0;0;453;207;752;0;1238;1263;1831;1756;388;1066;1094;205;228;2048;953;500;457;37;241;221;277;114;788;202;143;0;0;455;1016;20;485;0;0;305;47;58;0;375;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;uncultured_bacterium
70d55baf78e9ac4d0babeac5dcbae5c2;98;90;138;238;1238;0;124;0;889;366;53;0;486;0;1579;51;110;103;134;239;42;0;0;131;0;443;62;47;35;1567;231;231;1252;69;0;0;46;2873;504;0;1668;63;495;5682;114;0;523;0;335;0;3817;57;165;91;711;225;76;342;524;67;39;855;906;1477;1170;0;67;73;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_uniformis
9df251784dde31e05f02b2ee1029d71c;817;821;890;480;497;128;84;291;349;349;52;330;459;66;362;458;188;894;399;415;330;0;381;137;143;340;542;347;1293;0;896;1183;520;260;2528;470;238;1116;1177;628;734;473;265;1364;522;36;493;764;469;240;1525;231;482;189;25;265;199;106;129;185;66;118;0;271;229;173;34;423;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;uncultured_organism
ca60f9527111263bca48622331f2b3f6;407;31;251;124;1136;0;93;6;270;435;254;525;306;342;223;490;352;103;0;147;132;0;481;1027;226;370;467;671;0;1212;971;44;0;243;13;1100;593;10;1510;680;698;531;446;773;283;0;267;399;280;81;500;248;186;941;1116;0;674;226;3135;509;1271;0;1339;1187;65;16;223;69;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA
26639d9f66c6c2106996b1c162605ff8;0;0;3;0;0;76;1193;739;0;0;0;0;233;3184;0;1332;771;0;0;275;7;0;0;408;1668;0;0;1502;2;0;0;1500;0;2045;0;4222;704;0;0;0;0;0;657;0;2924;2949;0;2;36;0;0;563;0;848;388;0;0;702;0;5;430;0;0;0;1110;0;60;0;d__Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter_smithii
38b7580c13cf081c9f279006c2dc70b9;121;0;0;303;433;733;917;0;492;384;103;330;641;611;1015;189;52;256;711;314;0;3189;135;0;132;125;148;54;951;0;874;657;463;0;345;1517;48;1384;128;161;383;0;0;885;1174;0;737;379;1193;48;2956;391;293;128;61;468;170;171;160;70;46;32;0;557;612;57;0;356;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_longum
35fd41579b5eec27ec14c400c586c480;0;1149;1522;82;417;0;0;0;314;121;0;0;0;0;0;0;1583;979;0;0;0;32;0;668;0;1011;0;0;0;1036;0;0;1540;0;0;0;2121;1981;0;998;0;0;1768;1110;0;0;37;0;0;314;0;0;834;1542;0;0;0;0;3374;0;0;0;2631;0;0;357;0;0;d__Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister_invisus
8d478879084ed7c88660c8b0c4b24923;0;586;86;359;430;1077;1843;0;0;0;2365;428;0;0;988;1278;0;717;0;971;0;0;0;90;0;0;0;366;0;0;0;2474;0;0;0;0;0;0;1592;0;0;616;163;1418;1449;0;0;929;0;0;3491;1175;503;326;279;0;0;0;0;0;43;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
b6635d67cb594473ddba9f8cfba5d13d;79;196;775;646;0;109;149;161;133;1170;82;0;39;0;415;122;58;240;0;0;644;0;128;106;71;56;71;200;0;0;12635;58;0;0;0;0;41;122;193;0;381;142;353;0;215;65;536;0;92;0;698;36;170;20;52;0;302;60;301;83;25;0;0;1707;221;0;0;64;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_vulgatus
98fcc7e4135d41152d2db711de5c1255;83;73;0;0;0;895;1616;1639;0;0;0;1955;90;473;0;176;117;196;114;6;0;0;51;426;103;0;0;39;0;2268;132;0;350;11;70;1701;197;845;1076;815;159;138;331;0;193;295;0;1814;51;229;0;147;642;133;0;530;213;185;0;0;0;32;1138;1153;117;0;27;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_uniformis
2eedf896e95f02090d22dd3e68742ce7;81;428;280;79;71;79;302;52;118;78;763;125;1276;103;96;179;22;243;46;208;611;0;1569;65;271;279;96;287;210;0;35;935;395;553;353;325;151;2948;1078;377;321;213;546;182;307;0;111;228;779;196;634;57;458;166;13;224;575;96;40;36;35;155;0;15;172;0;35;151;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;NA
c6fdf631c16099e62a83c66db8a7a6f1;802;542;276;112;117;177;330;326;198;191;902;192;500;95;567;169;71;220;0;145;284;0;296;90;196;63;409;477;402;706;18;307;0;0;808;127;150;0;398;1355;371;340;739;269;280;86;581;330;377;431;598;49;352;0;405;0;614;393;43;336;301;210;209;173;417;0;0;417;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
b8349e5459469537ac814c90cb3b99fa;6050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1845;0;0;0;0;0;0;0;0;1190;0;0;0;0;0;0;0;0;0;0;0;0;0;4543;0;0;2690;0;0;0;0;0;0;0;0;0;1402;0;0;0;0;0;383;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia_muciniphila
af2150fef76b295092cd60a788cbe500;266;160;81;114;95;479;307;321;191;144;154;115;219;189;117;92;317;103;0;113;114;90;250;245;429;344;192;453;738;995;679;269;152;224;332;336;124;335;216;1050;521;103;252;174;595;269;188;341;158;888;432;53;135;177;14;44;125;171;98;68;51;160;150;123;216;52;17;80;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;NA
c287da853235f9a98089163fdca87226;264;693;320;150;92;278;0;417;210;0;311;32;190;533;141;248;118;144;1191;204;230;0;114;293;207;221;181;568;485;0;697;243;248;806;564;550;334;178;98;0;83;193;113;217;0;256;0;35;177;0;179;132;189;171;53;838;229;339;192;213;426;110;0;356;49;430;29;27;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;NA
ad52bbef279fc1fe7a3ca1c4b1fb9710;5;591;1139;0;0;0;0;0;0;0;908;0;0;0;0;18;0;0;0;0;0;0;0;693;0;2402;71;1667;0;0;0;555;0;2463;0;0;1425;3;0;0;0;0;2726;0;0;0;0;0;0;0;0;108;0;0;0;0;0;0;573;71;558;0;0;0;92;0;131;0;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemanella;uncultured_bacterium
c728ad6f5d183cb36fa06b6a3a47758b;114;135;469;0;0;0;55;0;129;94;0;21;134;24;55;94;181;206;0;69;0;0;1521;330;49;84;63;30;177;70;1183;0;94;159;98;44;146;399;1360;311;361;453;630;62;98;0;0;65;116;61;598;22;459;154;48;0;984;72;89;86;29;489;304;2071;0;0;82;200;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
f2cbb29998f80ea0d81f9cde98ee136e;0;0;0;29;63;26;61;99;106;43;509;146;74;326;469;221;88;0;0;124;0;0;0;188;1280;75;47;702;5076;68;304;747;134;0;0;927;326;387;0;0;22;38;0;40;106;315;638;180;94;0;38;318;41;11;0;0;0;161;0;0;72;95;0;16;133;6;0;120;d__Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_1;NA
409f711b59152d57926cf444c5577087;147;0;50;14;0;55;78;111;126;55;0;0;329;177;106;0;161;41;401;200;36;3078;0;0;0;19;18;7;73;340;124;48;91;90;3380;0;0;80;24;550;465;10;63;352;180;247;87;38;252;332;346;0;0;209;29;424;21;0;0;687;10;123;0;0;67;726;0;48;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_salivarius
52ba52e30f9d5544bdace0dc6dd18956;42;121;79;86;103;243;202;414;427;238;116;34;425;113;210;29;152;325;331;196;469;0;186;60;318;111;184;418;664;0;144;254;209;175;39;257;109;572;602;585;245;183;220;246;326;162;302;88;439;396;560;22;482;266;0;48;167;150;69;115;53;41;0;36;167;209;0;289;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium]_hallii_group;NA
a39d801345fa448b725cc560f78f64bd;0;561;108;253;310;0;0;0;0;0;0;407;0;447;0;0;28;1537;0;0;383;0;0;171;0;0;0;0;0;0;0;1186;0;863;0;1371;0;0;788;1046;0;257;183;903;0;0;0;1063;0;1109;0;0;1140;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;NA
f7d40e3c3a3e3a250186ad650ae6ae42;0;513;105;0;0;0;0;1209;0;0;1315;0;0;0;0;0;0;0;0;0;0;0;0;127;0;894;0;0;764;0;2421;0;0;0;0;0;0;0;0;0;0;0;164;0;0;605;0;0;0;0;0;0;0;0;0;4813;0;0;351;0;0;0;0;0;0;19;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;uncultured_organism
93b58b0ba0d326e9c8d1a81f8672c16a;0;69;77;0;0;534;196;109;0;0;310;83;56;151;237;393;341;134;0;115;794;0;0;145;234;179;499;1032;0;0;183;143;74;156;0;548;328;146;767;0;37;263;101;0;375;205;0;47;107;0;1184;357;260;132;28;0;35;302;51;201;636;0;0;38;94;271;29;61;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus]_torques_group;NA
4d6fe682a4dd9aad8decfab830a193e0;416;0;0;160;901;0;16;0;0;0;24;0;28;25;11;25;108;344;41;28;125;382;135;161;90;162;595;46;153;303;395;0;0;128;195;93;184;5;239;0;376;43;0;491;24;0;0;0;27;0;36;21;154;208;82;1415;165;96;1044;507;37;207;199;827;312;0;887;50;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides_merdae
63ae69e5112e904373fa2c6a38d8a5b9;0;0;0;0;0;0;1191;0;0;0;406;0;0;381;0;93;122;0;0;0;0;0;0;0;248;0;0;344;0;0;0;301;0;0;0;3096;0;0;967;298;0;113;0;0;2307;0;0;0;0;220;0;482;0;354;0;0;0;543;0;0;83;0;0;0;143;754;0;0;d__Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;uncultured;uncultured_bacterium
e2f6a531bc64c892b56a06d2aed991f7;131;0;0;0;0;3017;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;3484;0;0;0;0;0;0;0;0;0;165;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;65;0;96;0;0;0;0;5022;0;158;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
31c7bc067538dcf7916e8b7cbefa44e5;104;310;238;209;61;556;257;379;188;135;43;55;111;199;202;103;66;105;139;42;109;54;363;66;115;73;70;52;57;0;98;55;156;0;380;1119;107;224;580;170;49;122;574;149;555;317;133;90;150;241;427;124;200;368;0;274;189;163;62;164;0;92;0;136;37;61;0;51;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;NA
75a7dd04040e23328468b763836841ac;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;28;0;0;875;0;0;997;10;1046;0;0;0;0;0;0;0;0;0;0;2303;0;0;0;0;1656;0;0;0;0;0;0;0;0;0;0;0;0;1388;0;0;1065;979;0;0;0;0;0;0;296;0;0;877;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;CAG-352;uncultured_bacterium
bb35a35e317aeaf3cdd5bef973af2498;0;0;20;34;100;34;0;85;11;62;0;0;78;18;0;0;13;0;0;17;0;0;0;78;0;27;67;0;72;682;0;118;0;476;0;116;75;39;46;87;0;0;293;41;0;66;34;0;40;18;47;0;0;124;0;25;0;0;161;232;0;145;1217;51;1192;0;5551;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus]_torques_group;NA
a4cd6152db4ba6371bd3d35fcda62a19;448;676;988;0;0;0;244;0;108;30;67;53;174;0;136;0;0;347;741;192;0;531;22;0;80;0;0;0;0;39;362;588;0;0;1819;103;146;0;0;191;40;0;1819;0;0;73;172;0;229;53;0;8;90;197;0;0;0;76;138;0;0;60;127;96;0;85;49;52;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA
4a5d2a184f229de74e17565e4c13a7d9;0;0;0;0;0;0;0;0;0;0;0;497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;313;0;0;0;0;0;0;0;0;0;0;0;6196;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;Dialister_sp.
b4ed8ec9d3313b1ae0b929812511444b;0;9;0;0;0;64;90;26;31;51;63;26;134;343;68;13;262;208;0;282;0;0;26;102;463;228;0;1017;40;0;0;424;0;0;0;363;767;0;0;0;37;0;203;106;960;259;461;948;36;0;918;363;75;184;276;55;0;0;258;0;89;0;0;0;11;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_1;uncultured_bacterium
cd33343b747cb20a2c7f908be741c159;126;56;3696;0;0;0;0;0;0;0;0;153;139;0;0;166;11;53;0;18;306;0;537;14;0;0;0;34;0;0;13;0;0;0;207;0;70;0;0;0;672;0;775;0;0;0;0;825;1067;0;0;0;151;0;0;0;601;10;0;0;12;0;0;9;0;0;0;491;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelotrichaceae_UCG-003;NA
6aecdefb54ce134bd38af02b1c7e7187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;395;0;0;0;1672;833;0;0;0;0;0;0;0;0;0;0;0;1189;0;3400;0;0;704;0;0;0;0;0;0;0;0;0;0;0;0;359;0;0;1438;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;metagenome
096cb1590806c25cc3cef9da6f82ed9a;104;0;0;0;0;0;0;0;0;0;0;0;250;0;0;94;0;0;0;582;0;0;1351;0;0;1752;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;320;0;0;30;0;70;1201;0;782;0;2997;0;0;0;0;0;299;38;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;uncultured_organism
af3909edeceab197f554e240fe97af83;0;0;0;0;0;374;0;517;20;14;0;0;0;0;0;0;0;145;0;0;0;0;0;0;0;16;0;8;6492;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;291;25;0;0;0;0;0;32;0;13;0;0;0;44;0;10;1377;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes_inops
427f5142ae52662b7db0bdd5689461f0;0;0;0;0;0;766;0;19;4042;0;515;0;0;0;0;0;45;0;0;0;0;868;0;50;0;0;0;0;0;0;583;10;0;139;0;0;0;0;0;0;23;0;50;0;0;0;0;0;24;0;0;0;0;0;0;140;0;0;2;0;0;0;6;45;0;0;0;2020;d__Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;NA
4020df7deec186db39e3dfad22abfa46;87;0;0;0;0;0;89;0;0;0;0;0;724;0;0;261;146;5;0;1109;0;0;0;0;525;0;113;281;0;0;0;168;0;0;35;0;0;0;0;0;0;0;0;0;75;0;0;0;971;0;0;90;0;269;3127;0;0;287;50;16;103;0;0;0;635;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;uncultured_organism
d4d386b7d01baf327f6b43aa568cb9e7;0;11;46;79;631;0;59;0;0;79;65;0;38;0;0;10;233;0;0;0;172;0;106;16;26;117;25;0;0;711;72;39;0;0;0;0;0;0;24;0;161;47;115;446;99;0;16;0;107;0;0;0;0;94;0;0;169;42;571;50;0;0;2411;0;1619;0;0;36;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_vulgatus
9eaff8c3aca7b74962decea682803d9c;0;27;19;135;303;104;343;204;137;177;96;299;73;206;145;52;70;0;0;78;0;0;0;183;482;23;119;63;9;0;966;229;8;6;0;202;359;0;0;0;59;0;12;279;518;557;458;546;88;0;103;77;0;34;36;69;0;208;16;0;6;0;0;41;25;0;8;260;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter;NA
5e044f34a0a5ffd168ee1f5855fb99ad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;383;5438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;235;2256;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;uncultured_bacterium
c29919216bd6a6713038fd18691cc505;0;0;0;0;0;33;631;0;252;334;0;0;135;0;0;0;13;101;0;43;0;269;570;0;756;0;0;0;0;0;0;0;1079;0;0;0;0;1821;0;0;0;0;0;0;459;0;552;0;191;0;0;0;112;57;10;72;328;169;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
9243bc95f3bb4eba8fabc522fa335a7f;0;0;0;119;609;0;0;0;179;402;0;0;0;56;0;396;36;292;0;42;0;0;0;0;0;0;0;165;0;0;129;14;0;209;0;181;0;0;0;0;130;0;0;402;0;0;156;0;0;0;0;213;134;51;168;0;0;69;31;0;122;0;0;360;967;0;2006;27;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides_caccae
4608cf2aa614ad44e2e4c90e5145221e;7;188;0;34;103;15;70;47;11;8;0;34;47;97;315;116;0;189;157;36;133;0;217;57;77;39;52;107;666;0;594;202;52;0;0;186;46;262;47;661;119;11;35;111;96;4;0;146;83;206;596;8;155;0;0;248;189;65;58;83;4;96;0;129;11;0;0;93;d__Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;uncultured_organism
400ef329b2c43b49217289537bb77633;124;61;304;45;30;58;102;70;53;29;198;31;259;89;144;282;100;162;0;117;60;0;135;135;338;211;0;511;36;0;9;172;53;14;215;238;368;105;130;0;119;11;420;125;118;35;29;76;144;0;91;103;216;112;0;0;110;176;99;0;61;18;0;96;77;29;0;110;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;metagenome
9960b20e17a6ebd5bf31b249c3503956;0;0;0;38;9;107;42;275;161;140;0;163;107;312;56;10;94;0;0;18;0;18;0;323;538;300;0;194;0;0;352;256;0;0;0;30;331;0;0;0;0;0;12;0;89;919;183;733;335;0;21;0;0;48;21;73;0;143;11;0;28;0;0;63;21;0;0;788;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Terrisporobacter;uncultured_bacterium
