;total_ASV_count;Percent_proportion;Minor_count_among_samples;Major_count_among_samples;FASTQ_with_less_count;FASTQ_with_more_count
Bacteria;325060;99,4198013806097;378;204937;Blood5;E_Coli3
Unassigned;1897;0,580198619390317;0;1080;Blood8;Blood11
