;I1;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;I2;G20;I3;I4;I5;I6;I7;I8;I9;Kingdom;Phylum;Class;Order;Family;Genus;Species
e81c8f18c0df08131145447a93c267bb;4635;2007;13055;2240;2318;2365;2306;5266;2131;2156;5330;2186;2584;2654;5334;2329;4708;3418;1629;3952;d__Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Sediminibacterium_sp.
2345c975ae95fddd8aa7816acb912ffc;1537;606;3545;591;725;549;590;1292;554;518;1750;823;717;610;1586;629;1907;913;414;1140;d__Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;NA
38b7580c13cf081c9f279006c2dc70b9;0;1994;3048;81;2889;27;0;0;0;121;1638;0;81;0;0;0;0;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
67fe68b10effbc7af1e15eb1d66f58af;659;407;1010;170;327;340;308;589;342;373;824;242;304;324;792;368;874;538;178;397;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;NA
4462df938f189c198fc3ee0d8b9a2065;432;137;1050;160;192;255;275;256;93;110;389;104;204;153;541;259;544;254;134;339;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Phyllobacterium;NA
b6a1cfc87c3ffa7f96227d4a372d8dd7;0;1116;1760;82;1398;0;0;0;0;108;735;0;65;0;0;0;30;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;uncultured_bacterium
3f3a0eaeea9c0690b6ede1b17b4fd8ce;33;766;1086;51;1496;0;0;0;0;65;630;0;29;0;0;0;30;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
ad89a9d5fec4408fafb73e7225f44d08;0;681;1237;19;1174;11;0;0;0;47;524;0;34;0;0;3;27;0;5;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;uncultured_bacterium
b264ac8ff5f9aff74f0b9aa084d9a9f0;0;632;980;31;982;46;0;0;0;34;690;0;0;0;0;33;55;0;22;19;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;uncultured_bacterium
4f17105bf002596e47d0a3d93d6f71e7;0;0;0;0;0;1849;0;0;1153;0;286;0;0;0;0;0;0;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella_vaginalis
05f396eb2a97db9c82e5f9d3fa049d34;69;157;291;74;41;109;231;241;147;128;328;70;143;159;245;132;299;71;125;163;d__Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;NA
c29919216bd6a6713038fd18691cc505;0;587;1075;0;840;18;0;0;0;74;415;10;43;0;0;0;0;0;0;0;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;NA
dd8c8d60bfca3e1df01a4bbff8d3326e;100;99;525;131;59;57;164;164;38;55;201;0;124;92;224;158;284;184;118;188;d__Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;NA
4516aa60a483dd8c7bbc57098c45f1a5;0;673;679;0;943;15;0;0;0;45;391;0;28;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;uncultured_bacterium
ffc36e27c82042664a16bcd4d380b286;62;205;745;47;420;81;96;36;85;8;263;9;88;15;58;14;42;69;9;36;d__Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;Escherichia_coli
747a284c95e1af0ec02d6582f6565774;0;444;527;45;864;0;0;0;0;21;358;0;26;0;63;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;uncultured_bacterium
15e05255b2aa8ee3524ca61eb207bb18;0;379;705;0;484;0;0;0;0;66;256;0;9;0;0;9;22;0;0;14;d__Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;uncultured_bacterium
a39d801345fa448b725cc560f78f64bd;0;401;664;0;343;0;0;0;0;48;262;0;25;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;uncultured_bacterium
61d96a1395c98563bd419df4e71674cf;0;375;265;27;662;19;0;0;0;8;239;0;0;0;0;0;0;0;4;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium]_coprostanoligenes_group;[Eubacterium]_coprostanoligenes_group;uncultured_bacterium
53af3d32e60678cbb5e62cabdfa87126;93;99;126;75;0;81;100;374;0;43;74;68;48;70;121;73;0;36;37;58;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Afipia;NA
22f4ee9a41a4d73580bf7ade8e9e017a;0;361;516;0;352;0;0;0;0;25;253;0;0;0;0;0;0;0;11;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;uncultured_bacterium
8f6e2a91e20994c00566a5ff2b49506e;0;214;444;25;340;0;0;0;0;22;255;0;0;0;0;0;52;0;0;38;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;uncultured_bacterium
b02a8d33d018119dedb2db15db887bfd;80;31;107;17;47;20;32;81;27;452;76;33;49;11;35;7;18;97;13;131;d__Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;uncultured_bacterium
c6fdf631c16099e62a83c66db8a7a6f1;0;152;478;41;354;0;0;0;0;23;238;0;0;0;0;0;50;0;0;7;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;uncultured_bacterium
40e333773bc2f71c12f5e3f827d1280e;84;0;98;15;78;23;146;102;110;26;0;0;43;0;78;51;304;0;0;118;d__Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;NA
25af29e1b2d121f8aae468d270d75518;0;210;467;0;307;0;0;0;0;0;264;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;uncultured_bacterium
bbae6ed124f4d6b48435a964a95c8418;0;315;302;21;278;0;0;0;0;0;206;0;41;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;uncultured_bacterium
af2150fef76b295092cd60a788cbe500;23;270;363;0;269;0;0;0;0;0;196;0;10;0;0;0;0;13;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
92d7e1b003a80a2cffc7754bdad1f8ae;95;23;284;10;99;0;11;24;0;23;101;5;67;26;36;72;50;17;62;86;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Bosea;NA
c5be3cbb0c4c3ad43d1c9902233d0993;0;218;293;22;404;0;0;0;0;6;87;0;10;0;0;8;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelotrichaceae_UCG-003;uncultured_bacterium
d91b5c77b23b27230a16c7dc4325f4cd;0;219;356;0;345;0;0;0;0;0;82;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;uncultured_bacterium
41388070b02a7c162aa7245ce4812ebd;0;186;455;0;240;0;11;0;0;0;47;0;0;0;0;26;0;0;8;24;d__Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium_longum
c287da853235f9a98089163fdca87226;0;179;252;14;342;0;0;0;0;15;102;0;15;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;uncultured_bacterium
29fc1e11d7f813aa68e3c789b3fc1a20;0;112;256;14;362;0;0;0;0;17;104;0;29;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
9df251784dde31e05f02b2ee1029d71c;0;280;111;12;301;0;12;0;0;10;147;0;8;0;0;4;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;uncultured_bacterium
7c90be996613dc05c9e3ae957c3686b2;0;189;286;0;247;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
160efa2a41c4cec475f79506e42374ca;122;50;287;0;216;0;0;0;0;17;130;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
b20b8aa4bd244d965316a278875a1469;0;110;329;9;139;0;0;0;0;0;210;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
9352e570a182123f48d92df829d0fcf0;0;179;283;0;199;0;0;0;0;7;65;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;uncultured_bacterium
be1fe9bfe424ad27f568d8e2d7b42c19;0;28;375;7;154;0;0;0;0;0;114;0;16;0;0;0;0;0;10;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
c7d1ed6c70202259164edf3ee7806f0c;0;174;175;14;179;0;0;0;0;5;145;0;10;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;uncultured_bacterium
4abaa483334092f021534a979086baeb;0;98;429;0;121;0;0;0;0;0;0;0;10;0;0;0;0;0;0;29;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured_bacterium
cd33343b747cb20a2c7f908be741c159;0;201;210;0;108;0;0;0;0;0;115;0;19;0;0;26;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelotrichaceae_UCG-003;uncultured_bacterium
5035cd5d4de16e588261f8c363807498;0;119;115;0;222;0;0;0;0;0;223;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
b8349e5459469537ac814c90cb3b99fa;0;103;108;13;225;0;0;0;0;0;197;0;0;0;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;uncultured_bacterium
494e65560668c776b1b9e745b349c50d;0;202;158;0;169;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;uncultured_bacterium
09b9879b4a172874a8d3f019f260bde8;0;201;158;0;170;0;0;0;0;0;99;0;0;0;0;0;0;0;7;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;uncultured_bacterium
2eedf896e95f02090d22dd3e68742ce7;0;119;158;0;122;29;0;0;0;11;101;0;20;0;27;0;0;0;0;27;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;uncultured_bacterium
c728ad6f5d183cb36fa06b6a3a47758b;0;121;244;0;207;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;uncultured_bacterium
286b444fb673d554ebd55837a29a398e;0;75;162;15;169;0;0;0;0;9;106;0;0;0;0;0;75;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;NA
f553031e7c29631f4e3a35c8f3bcbf84;0;34;27;0;61;23;80;62;21;51;54;0;34;0;123;0;0;28;0;0;d__Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;uncultured_archaeon
d76ba5f5e45b35e6ee95bf102aa6d0c2;62;0;169;66;15;11;0;25;65;0;0;0;40;0;33;0;21;0;0;67;d__Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;NA
3534b4be198dac95882f6e730b647c60;0;167;0;0;155;0;0;0;0;25;125;0;0;0;0;0;86;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium]_hallii_group;uncultured_bacterium
b978450e75ae38f47e8e4fadc48bbd0b;0;164;129;11;130;0;0;0;0;0;108;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus]_gauvreauii_group;uncultured_bacterium
6e408cc3ba68e93a8d2a36d67381d445;0;99;172;0;127;16;0;0;0;12;116;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
adb50edc0061a6b77a64cd50cc7fbe06;0;101;194;7;47;0;0;0;0;0;151;0;20;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
ceaec4b3e38be8caaaf3ba52277fc320;12;428;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;NA
98fcc7e4135d41152d2db711de5c1255;70;40;165;0;79;0;0;0;0;0;138;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured_bacterium
b6635d67cb594473ddba9f8cfba5d13d;0;157;56;0;103;0;0;0;0;0;160;0;0;0;0;0;0;14;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured_bacterium
b26d5a55144a8c21c42718eff278171a;0;107;10;14;75;0;0;0;0;0;283;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured_bacterium
bb4313b57bd3423ba26610bf0fbc4430;69;17;85;38;0;0;29;0;36;0;30;0;0;22;18;41;63;0;34;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;NA
d4d386b7d01baf327f6b43aa568cb9e7;0;86;158;23;166;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured_bacterium
c27ad79848adcd406bf90804cb13ec9b;0;359;0;0;27;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;NA
734dcd020504800d8042434e28b57298;0;60;354;0;49;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;uncultured_bacterium
31c7bc067538dcf7916e8b7cbefa44e5;0;151;121;0;104;0;0;0;0;0;74;0;0;0;0;12;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;uncultured_bacterium
0d5aa4a52beabe0daa91631324cf840a;0;52;194;26;113;0;0;0;0;0;71;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
f83ecd0e2af5002baa42c6115046e516;0;36;284;7;62;0;0;0;0;0;62;0;0;0;0;4;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-001;uncultured_Bacteroidales
9c27410265c4c0f8558f6d01a3282755;128;49;57;0;59;0;0;0;0;3;142;0;0;0;0;0;0;0;0;4;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-001;uncultured_bacterium
85e5f4133e5ea47da3e24828bdf463f5;0;77;92;8;188;0;0;0;0;21;51;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;uncultured_bacterium
e9398bc0ad9626bc4742c93fd0363bac;0;73;0;0;268;0;0;0;0;0;79;0;0;0;0;14;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;uncultured_bacterium
b84dc98f41d46ada60ffc538c44f4995;57;0;95;0;0;26;9;43;0;10;11;27;61;21;5;8;22;17;4;9;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;uncultured_bacterium
ed7747f5b0284274c95a92cc42e8657d;0;78;133;11;85;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;uncultured_bacterium
2893aeb225744a49866e347886550112;0;123;69;0;133;0;0;0;0;0;76;0;0;0;0;13;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
774f86ac799258e15ea009c97614122d;0;0;33;0;39;37;0;52;50;27;0;38;47;0;0;0;0;46;0;43;d__Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;Halomonas_sp.
edc06e5f20535c71071803ccc27290d8;0;116;69;0;132;0;0;0;0;0;67;0;8;0;0;13;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Dorea;uncultured_bacterium
348e85fdde75503a9c70539e268160bd;0;54;104;31;52;0;0;0;0;0;162;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
185f7b41fe48144b4cea20fabb4bde9e;0;40;180;0;122;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
ca60f9527111263bca48622331f2b3f6;0;84;90;0;130;0;0;0;0;0;81;0;8;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured_bacterium
42690539aa399c812b99bc18ad34b6b7;48;47;53;7;127;0;0;0;0;0;103;0;0;0;0;0;0;0;0;7;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
70d55baf78e9ac4d0babeac5dcbae5c2;0;90;183;0;64;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured_bacterium
8f2bbe692f7aca0f2c3959c3cf312b1d;21;29;52;0;0;0;40;21;0;35;38;22;0;0;33;0;46;0;0;32;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;NA
708533b22c5b4576207d5d3a28ab4dcc;77;0;0;0;0;0;19;66;0;0;79;0;22;0;25;11;0;22;22;25;d__Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;NA
132398ae30585fc78b3f5712f4c1f5ed;39;0;0;15;0;0;22;33;24;28;0;0;0;26;31;0;0;106;0;43;d__Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;uncultured_bacterium
0b438323a296b5f2ce2c8bbe3949ee8d;0;13;236;9;58;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured_bacterium
1dcd5cddd286ba7e9e4786d8d8c1d201;0;135;38;17;123;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;uncultured_bacterium
fb7a1c0b3625f00ee42dbfcbaa001f12;0;69;84;0;116;0;0;0;0;0;68;0;24;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;uncultured_bacterium
675d47d0e00ce464efcc06550c8d986f;0;64;101;0;113;0;0;0;0;9;58;0;0;0;0;0;0;0;11;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_ND3007_group;uncultured_bacterium
8e121f6e82f82d6e7e2f831b9ce9e75c;0;98;115;0;118;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium]_coprostanoligenes_group;[Eubacterium]_coprostanoligenes_group;uncultured_bacterium
52ba52e30f9d5544bdace0dc6dd18956;0;149;99;25;50;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium]_hallii_group;uncultured_bacterium
d4abb8e144d19da46163cafc15d92bef;0;95;69;0;133;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Catenibacterium;uncultured_bacterium
b26f1372910de791b2460928cc549616;0;17;174;0;75;0;0;0;0;9;65;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium]_coprostanoligenes_group;[Eubacterium]_coprostanoligenes_group;uncultured_bacterium
93b58b0ba0d326e9c8d1a81f8672c16a;0;75;87;0;55;0;0;0;0;15;51;0;0;0;0;0;56;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus]_torques_group;uncultured_bacterium
df3d6113f855e22f2a6d44e60f01baa7;132;0;0;0;0;0;0;0;0;30;31;0;0;24;0;0;33;34;0;47;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia;uncultured_bacterium
6251bd9ebf43fae466939ab366f6e547;0;0;81;21;171;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured_bacterium
d623fd19777c46f0ce7c5576aad84ed8;0;6;220;13;0;0;0;0;0;0;72;0;12;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured_Bacteroidales
fd4db068731173fff9963ffb06b4200b;183;0;0;0;0;0;0;0;0;14;47;5;0;30;41;0;0;0;0;0;d__Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chloroplast;Chloroplast;Platanus_occidentalis
582fae36f33acd1efdcaf7cacf00ef0a;0;26;168;0;25;0;0;0;0;0;86;0;0;0;0;0;0;0;6;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium]_ventriosum_group;uncultured_bacterium
ed5a5cac9dcdfc7b4ba9cfb56b416739;0;63;158;0;24;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured_Bacteroidales
bbc83a06593f362dec5cde5e8ecf0877;143;132;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;d__Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chloroplast;Chloroplast;NA
e1f184f23fd4768fc895db0f0739f3fe;0;84;110;0;48;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
4865e9b5a90863a8a7b1a843bd8d7c95;0;36;180;0;43;0;0;0;0;8;26;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
a08e51322ac5413f32389f362e518aef;0;83;31;0;82;0;0;0;0;13;69;0;0;0;0;0;0;0;0;14;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
9cb986fb9a5d33f51977148b33c14fcb;0;45;30;0;118;0;0;0;0;17;82;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;uncultured_bacterium
2ee585c245a593473acb21bdf1d7a460;0;57;0;0;89;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;uncultured_bacterium
f204a3950172870e5b0b6f4ebd0164a6;0;0;252;0;16;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured_bacterium
a3db1b300a107cfa951dd573815a818e;0;17;80;13;114;0;0;0;0;9;52;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;uncultured_bacterium
35fd41579b5eec27ec14c400c586c480;0;55;147;0;65;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;uncultured_bacterium
34f6a9f2891692941ec6fdb0095c4012;0;50;93;0;124;6;0;0;0;0;0;0;0;0;0;6;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium]_coprostanoligenes_group;[Eubacterium]_coprostanoligenes_group;uncultured_bacterium
df3fda2fa3d04dd5e0838ac1b4812be8;0;10;92;0;0;45;17;42;0;0;29;0;0;0;0;0;20;0;0;22;d__Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anaerobacillus;uncultured_bacterium
64336958048862c75d0f4f8daee411a9;39;0;0;0;52;13;0;0;43;0;0;67;0;0;0;0;27;22;0;13;d__Bacteria;Proteobacteria;Gammaproteobacteria;Salinisphaerales;Solimonadaceae;Nevskia;Nevskia_aquatilis
7b6d335d29fb8edf989ba7d03a848d84;0;77;0;0;88;0;0;0;0;0;83;0;28;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;uncultured_bacterium
8628b90a31f84e15dfd2545945c56617;0;28;99;0;65;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae;uncultured_bacterium
e52408a5d0fd918291326072918df419;0;61;47;25;54;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;d__Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter_typhlonius
