;I1;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;I2;G20;I3;I4;I5;I6;I7;I8;I9;Kingdom;Phylum;Class;Order;Family;Genus;Species
c5a409413c3c3e6657ee6692c5cd955a;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group;uncultured_bacterium
e15b6ef1cd643dff3f0649b7baba06e8;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;uncultured_bacterium
3071e91c447d598e084cce82dc189139;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;uncultured_bacterium
657967aad31527de494561e0ddbf3d20;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
11cdaa524bcf900ddbfd9f21e734229c;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;uncultured_bacterium
ff78dbd8968bc63bab728332d6d6f9be;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured;uncultured_bacterium
dc99c7db449d6508a55c2abba0842676;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;NA
f81da28c23c3724a6d56dac392f9f3d4;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_NK3B31_group;uncultured_bacterium
7136846c71b2f663fec268c903d9d684;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;DSSF69;Hankyongella_aquatica
47f3d645d96038371757074de1d8fb8d;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured_bacterium
45a44824c4535a0dd0a7f4e18a5aa25d;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae_R-7_group;uncultured_bacterium
62c336937d9c98f93521f014e1f21a63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;uncultured_bacterium
57c3509bdd07b07b5b3af80068d66eee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;d__Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;uncultured_bacterium
6c91363c5ae3a3c7b5df309186c7e826;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;d__Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;uncultured;uncultured_bacterium
