"";"AX1";"AX2";"AX3";"AX4";"AX7";"AX8";"AX9";"AX10";"AX11";"AX12";"AX13";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"72787663c49234b2141c059620a85a57";"0";"0";"14";"0";"61";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Bacteroidota";"Rhodothermia";"Balneolales";"Balneolaceae";"HK-RBC54";NA
"ba640a70c97b7f09dabef0c43de10c58";"71";"38";"44";"18";"20";"0";"0";"0";"0";"0";"4";"d__Bacteria";"Bacteroidota";"Rhodothermia";"Balneolales";"Balneolaceae";"Gracilimonas";NA
"1c79090cbb06f8e4c40204a0985d43ff";"23";"58";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Bacteroidota";"Rhodothermia";"Balneolales";"Balneolaceae";"Aliifodinibius";NA
"d79e364b180ccecc7722556bb9a44050";"46";"22";"0";"0";"0";"3";"9";"0";"0";"21";"0";"d__Bacteria";"Bacteroidota";"Rhodothermia";"Balneolales";"Balneolaceae";"Rhodohalobacter";NA
"2436fb324a005c158ba3e5ad88409abc";"12";"22";"13";"16";"79";"141";"120";"24";"335";"250";"22";"d__Bacteria";"Bacteroidota";"Rhodothermia";"Balneolales";"Balneolaceae";NA;NA
"37f29c46e91b2c0b136cbd58f9f4b944";"10262";"16285";"2483";"766";"816";"2718";"1137";"194";"1359";"1525";"1151";"d__Bacteria";"Bacteroidota";"Rhodothermia";"Balneolales";"Balneolaceae";"uncultured";NA
"fc126c6d03a4c720d4dbffef637146e2";"38";"18";"55";"43";"120";"288";"899";"232";"613";"1114";"562";"d__Bacteria";"Bacteroidota";"Rhodothermia";"Balneolales";"Balneolaceae";"ML310M-34";NA
"6955179eb5d494bc5b91adb4426d2291";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"d__Bacteria";"Chloroflexi";"Chloroflexia";"Thermomicrobiales";"AKYG1722";"AKYG1722";NA
"273cf7683197463016ab671bbd8991e5";"0";"11";"90";"20";"0";"0";"0";"0";"5";"11";"0";"d__Bacteria";"Bacteroidota";"Kapabacteria";"Kapabacteriales";"Kapabacteriales";"Kapabacteriales";NA
"c593ad605f44a8c52e62e92a66ef4001";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"2";"d__Bacteria";"Hydrogenedentes";"Hydrogenedentia";"Hydrogenedentiales";"Hydrogenedensaceae";"Hydrogenedensaceae";NA
"c94b99ae79bc222d9cfb274dd9414d8b";"67";"43";"35";"3";"16";"20";"10";"0";"0";"0";"0";"d__Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bdellovibrionales";"Bdellovibrionaceae";"Bdellovibrio";NA
"146da651cf7ed5efb046c46b6faa8266";"0";"0";"2";"5";"0";"7";"90";"15";"6";"4";"0";"d__Bacteria";"Desulfobacterota";"Desulfuromonadia";"Bradymonadales";"Bradymonadales";"Bradymonadales";NA
"cf1e8ccd79c0eecb8375e18c98a4ef15";"5";"0";"41";"65";"0";"55";"41";"19";"222";"81";"994";"d__Bacteria";"Desulfobacterota";"Desulfuromonadia";"Bradymonadales";"Bradymonadaceae";"Bradymonadaceae";NA
"f503b20a71ed081f227feb5d8229ffdb";"0";"0";"0";"3";"0";"0";"7";"10";"0";"7";"0";"d__Bacteria";"Desulfobacterota";"Desulfovibrionia";"Desulfovibrionales";"Desulfovibrionaceae";"Desulfovibrio";NA
"4128a19a7d291bc0c5245805e3131fde";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"d__Bacteria";"Gemmatimonadota";"BD2-11_terrestrial_group";"BD2-11_terrestrial_group";"BD2-11_terrestrial_group";"BD2-11_terrestrial_group";NA
