;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;Kingdom;Phylum;Class;Order;Family;Genus;Species
2d7cbd5bbe37bf0a7e96d6a1029236ac;0;19;43;77;23;47;46;42;16;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;NA
23389a84b5739cc81c733bc0db2d22a7;11;0;50;12;52;25;45;63;0;0;0;0;0;11;8;33;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ead32f836acf9f6a37ad07ac8bd87572;10;23;28;26;13;0;0;0;39;0;16;13;22;56;51;12;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;ASF356;uncultured_bacterium
783d1e50542235ebffaed7e3cc5ffd6d;16;30;60;56;0;0;38;25;15;12;14;22;9;0;0;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family_XIII_UCG-001;uncultured_bacterium
aefa44a3a697b6e9699ed89c83ed241a;21;59;22;52;46;11;17;17;4;0;0;0;0;0;5;40;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae_Sedis;Acutalibacter_muris
363f843a8c637fe3e3bbc5de02733fe5;0;0;0;0;89;123;51;30;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
e58f863154d1878c68e263718d4407ce;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;276;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;NA
229730bcacdc24be0d467160a761ccd3;30;48;38;32;0;0;0;0;0;0;0;70;0;30;44;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;NA
44ae901157d54424d8ae08e9a9ae9704;0;0;0;0;0;0;0;0;0;0;0;0;197;0;31;63;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
fd624cea01a2f4d5d405de852244f934;26;13;35;61;28;22;9;22;0;0;13;19;12;13;16;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured;[Clostridium]_leptum
03294e55cd215716986371c941f082a2;12;17;12;44;0;8;7;17;0;0;0;18;32;46;55;16;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
639865637c63033139304f93d6fdfc3c;108;19;0;0;16;28;39;38;18;10;0;0;7;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
87e3233e283240f057c688443a487686;0;0;0;0;0;15;60;61;0;0;0;0;20;27;43;57;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;unidentified
57a2780152d4c79535f9c71d21c87db8;0;0;0;0;0;0;0;0;0;0;0;0;112;65;105;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;NA
46c4bb9712e0a90290c4cbcf56d860a3;22;31;43;51;21;13;10;16;9;0;0;10;14;12;10;19;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae_Sedis;uncultured_Clostridiales
01526cee3fdf7ad501533f8e79cee802;0;0;0;0;70;73;0;138;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;NA
50547857151a251e0857e14779005367;0;0;0;0;41;0;0;0;6;33;55;46;29;8;61;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
f7d0518f8796d07ecdb3c489994f856f;0;6;26;23;0;13;20;17;53;5;11;0;16;24;30;30;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae_Sedis;NA
8c660699bfdb8cc1217a0c4c6bc3e7ff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;unidentified
7ef390d041fbf2cec98be61fcb1ee285;23;33;102;44;0;0;0;0;0;0;0;15;19;0;14;13;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae_Sedis;uncultured_bacterium
c2869e20f460626549445cd79fc46b6b;20;52;30;45;19;9;0;17;0;0;0;15;0;19;34;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;uncultured_bacterium
aaa477968a9b4f46d7836d0e8e31d409;0;9;0;0;0;0;0;0;0;0;95;39;104;0;0;13;d__Bacteria;Firmicutes;Bacilli;RF39;RF39;RF39;uncultured_bacterium
0ffc4894e1570b7187e79b03a78ae1cd;12;31;59;40;17;22;27;35;7;0;0;0;0;0;0;6;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
3761aafbcbb8498924887d570d9e0c3e;0;38;25;47;0;25;0;0;0;10;0;25;19;22;40;4;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
c445435498e52709047681a16a1048d7;0;0;11;0;38;75;0;129;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;uncultured_bacterium
b3dcc0fd3cd0c82ded1f95e29eb47ffe;12;16;40;41;6;11;17;26;9;6;4;14;13;8;12;17;d__Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus;uncultured_bacterium
d0f41727c87529f0b22ed5754324f937;0;0;0;0;0;0;0;0;0;0;0;0;88;85;79;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
35d178ad14a1507f4caaf9e62fc617b4;12;8;34;25;0;0;0;0;30;0;0;14;14;49;47;17;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;ASF356;uncultured_bacterium
47795e620d5370a9d7d8642fa4b89cb5;0;11;27;13;47;50;39;63;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
d2ad3fb50f4f95cd4594352f621c9d43;0;0;0;16;64;20;23;24;0;0;0;0;0;20;74;9;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;unidentified
28a07e90cfaefd51127035efb4eb236d;0;0;0;0;25;64;0;161;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;uncultured_bacterium
6325524764db1e4b1c2621a7005050df;0;0;19;0;0;54;0;56;0;8;10;0;0;61;0;38;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;unidentified
1183cea45066e2b1d63ee62f59a4d069;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;NA
5f810ebc401a80c65186646ddb0bf15c;0;34;45;64;49;0;48;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;unidentified
f4fac2a0b9f60fc53422f64f8e1c4fd5;0;0;0;8;35;12;42;75;7;0;11;6;8;19;0;12;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
d0a152210e2ca09c67ee88a1b3a26ab3;23;12;36;32;0;0;0;22;0;0;0;12;10;28;0;59;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
7ca8e4ee1186c7392d160a7dc543b6de;14;30;29;50;0;0;0;15;36;12;0;14;0;17;15;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
277fdf63cae1ed08041a21be01b91953;0;0;9;20;44;54;27;73;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Lachnospiraceae_bacterium
41d743baf22eef5bd7304b58e44e043d;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium]_coprostanoligenes_group;[Eubacterium]_coprostanoligenes_group;NA
2173688f3c2254db2cf905a6c350bf79;11;0;0;0;0;0;0;8;52;0;14;112;0;0;12;13;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;uncultured_bacterium
0a4168ddd2d957e3d32fd6b565db0221;0;12;15;11;7;4;0;9;42;13;7;18;12;41;11;20;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;uncultured_bacterium
ddf969aca517b13467292907085fb190;0;0;0;0;0;0;0;0;0;222;0;0;0;0;0;0;d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;NA
b1caed185c17c35930db9668caa67d6d;0;93;36;0;0;0;0;19;0;0;0;0;34;0;38;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;NA
16cd2aac20c25e86ac42480fb9d61b14;6;30;0;0;0;10;26;11;0;0;26;30;34;46;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;unidentified
78e755f22b31aebfc49ec971c9e25f82;10;0;31;100;0;0;0;0;0;15;0;0;31;0;6;24;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575;uncultured_bacterium
