;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;Kingdom;Phylum;Class;Order;Family;Genus;Species
340ce4c77b7841ce9ae4977c2246bc80;17;20;33;0;0;0;0;0;34;9;20;22;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575;uncultured_bacterium
a9a0015052b629976dfce94f3aa37c1c;7;22;30;35;7;8;16;27;0;0;3;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium]_brachy_group;uncultured_bacterium
ec0d916fcd6e22130801cd8f22d3fc19;0;0;0;0;0;0;0;0;0;0;0;0;94;15;19;22;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;UCG-010;NA
0093e6247d24ff45d65284a97345ea3a;18;5;4;8;4;7;0;8;14;0;13;12;19;8;8;20;d__Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;uncultured;uncultured_bacterium
ee64017ad0a380b4145ec82797109cfd;13;9;20;25;0;0;0;0;29;0;0;9;0;14;12;16;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
973360718cfb0d1806d43527cb25adb3;0;36;28;0;0;13;42;28;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
8cef63ffe031742d411b2cf7039528d9;6;5;36;36;0;31;20;11;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
bf42a6b9943574419591b0774bc74ff8;0;7;38;29;16;0;18;27;0;0;0;0;0;10;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
a957b3163df1b9cebcd7921dd63158b7;0;0;0;0;0;0;0;0;0;0;0;0;0;24;120;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
09bd911864eedffdd74dffeed742781a;47;17;13;0;0;0;33;0;0;0;0;6;10;0;0;15;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;uncultured_bacterium
18ca5ecafff5806d6e8bfafe51874942;17;16;14;32;24;9;10;8;0;0;0;11;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae_Sedis;NA
c76f665700ef7f180098d2f07e135253;13;14;22;11;5;0;8;10;9;4;0;23;6;0;0;12;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured;NA
bbf314ff5ed38dd900afce7ad8750a10;0;0;0;13;61;30;0;21;11;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Butyricicoccus;uncultured_bacterium
2431d76f6b3cad3eb5519275689266f5;0;0;0;0;122;0;14;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
44c1427d6c6fa238b04ff1adee839837;0;0;39;30;0;0;11;0;0;5;0;0;0;11;0;39;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
c052a9548dafdb7e60155e80657eceeb;7;0;17;15;0;0;7;10;0;5;7;0;13;0;52;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;NA
fff54ffb13019c26b6459e592865b5e8;39;68;25;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;uncultured_bacterium
c7257bd17077580eef9a39f461d4106d;0;23;53;18;0;0;19;18;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
5167e6cfd9a6ab9fb10a9a52fdd05f51;0;111;0;0;0;0;0;19;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_UCG-001;unidentified
eb654aaab42daad2766ba2942283f325;0;0;0;0;0;0;0;0;31;11;0;5;0;0;0;83;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
1f200ef50380f90d7630860660aa1a2f;32;24;11;4;0;5;0;0;11;0;6;6;10;6;10;2;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae;uncultured_bacterium
645c64cf1a5aa4609fea773bda8b6d2f;0;11;14;21;18;7;0;6;0;0;0;21;0;0;20;9;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured;uncultured_Clostridiales
6e2436847d311309a821a6bff4655beb;0;26;0;29;17;0;0;0;0;0;0;0;0;20;34;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;NA
5ad6151bf64df2c20da0efa08456c964;0;26;0;0;0;0;14;0;0;0;0;38;0;0;48;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
fe3932c155e9d06370740434d53dd491;0;0;0;0;0;0;0;0;0;0;12;61;19;0;33;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;NA
fde66059cf3ed856e815c98d66b562b6;0;0;0;0;17;8;14;24;0;0;0;0;6;33;21;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;uncultured_bacterium
a6ecce04b6770ba62df9347a9855f8dd;9;13;15;0;17;13;21;34;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;NA
b82a64ed977f7716afdf3489c7461ff7;0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
ab6f08c6ac676ecde42d9fbe3c37abc9;0;0;10;64;19;7;6;15;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
475b206b5a66ff74a0bf4ac3a0e6bc0b;13;17;5;0;6;13;0;8;18;0;10;18;0;10;0;0;d__Bacteria;Firmicutes;Bacilli;RF39;RF39;RF39;NA
d2b123302fb5a94596cb2fe094c8dad7;5;18;12;11;9;31;8;24;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
ac0ecf4b46e1131ede8f7eb0eb90171c;0;0;0;0;0;0;0;0;0;118;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;uncultured_Prosthecobacter
9009a798293faad2bf236c9107a2d5ba;0;0;0;0;28;0;0;0;0;0;0;0;89;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
e64adc3e5db5e317355902efa6e1a28e;35;7;13;6;4;13;16;6;8;0;8;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia;Clostridiales_bacterium
42d3d95160da1ae1339346a20e317d87;0;10;9;15;0;19;0;15;25;0;0;0;0;0;8;15;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575;uncultured_bacterium
8a8e0da8ca128eea88911ee39775e03d;30;0;0;0;0;0;0;0;0;0;0;0;0;40;0;45;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured;Clostridium_sp.
4e237c595da5cb9529b22d4795613121;45;0;50;0;0;0;18;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;Dorea_sp.
2f3801e866866bb41ece79205253a0f2;45;0;0;27;41;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
b00c8e7b9573c84679f4f7cb14d7f2a0;0;33;0;23;21;0;0;36;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;uncultured;unidentified
112adc0ffa68eed2345db733879b40e0;0;10;10;38;0;0;24;13;4;0;0;0;0;0;0;12;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;Clostridium_sp.
51f42afc4844f09d2fd2ebb336b36919;0;0;7;8;0;0;6;0;28;15;11;20;9;0;0;7;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;uncultured_Clostridia
6d0cd65477fa4215ae71183835de98b7;0;0;0;0;49;0;0;61;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;NA
277d256c9bce51af100bb0d307bb61ce;0;0;0;0;0;0;0;0;0;0;0;0;0;45;33;32;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured;uncultured_bacterium
63afd5222bbcd2d49e083f44f9da3aba;0;15;0;0;0;17;16;16;13;10;0;21;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
c961f750038680670b5e30511c37b8e5;0;0;0;12;23;0;0;31;17;0;0;0;0;0;0;25;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured;uncultured_bacterium
31d6aa6610ab0dcb62cc7c884fb6d15f;0;0;0;0;0;0;0;0;0;0;0;0;108;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
d202f3307c961e13204522d055c7ce59;0;63;0;27;0;0;0;0;0;0;0;17;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;NA
45e170d0afdf21796c822d802a2f3623;0;0;16;0;25;0;0;0;0;0;0;0;19;24;23;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;ASF356;uncultured_bacterium
4add3b28eaf5edde28b7a50f1be5db28;0;34;0;39;0;0;0;0;0;0;0;0;0;0;33;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor;NA
23143deaa9f76988834e7848df234a00;11;16;10;20;0;8;0;0;7;0;10;9;4;0;6;4;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola;uncultured_bacterium
371b8ab89f9c9a8d38e4ce18927b1190;0;8;30;44;0;8;0;15;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
d4aa3eccbd017ebe4d2b942a14090248;0;0;105;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
c895f89d6ab4ddc88e53b3ff42487a62;0;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;d__Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured_Chloroflexi
b45eca976d147976b736fc9b28a524df;0;0;0;0;0;0;0;0;0;105;0;0;0;0;0;0;d__Bacteria;Myxococcota;bacteriap25;bacteriap25;bacteriap25;bacteriap25;uncultured_soil
713be73748483aef292180e9d0cc0210;0;0;0;0;28;24;0;52;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;NA
9db2817f5c42be6a7bcbca662959982d;0;0;0;0;0;0;0;0;0;104;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;NA
4beac537c5c108a2b97d5929a49527ed;0;65;21;16;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
7ab0f5fd995b7d157e375b1520f8c635;0;20;10;20;0;0;0;14;5;0;0;7;7;7;12;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus;uncultured_bacterium
1fa863f25bafc670ddb3b8614abe5c40;0;0;10;23;9;0;0;0;0;0;0;20;12;9;11;7;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;uncultured_bacterium
0fa04a28ff0d1dca79e2a5f8f1a25a28;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;5;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_NK4A136_group;uncultured_bacterium
1427410368a7fecb6d56d735437d5ba1;34;14;21;16;0;0;7;7;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
494e27bef2c0e387f42fafffcf944f2b;19;35;0;45;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;uncultured_bacterium
a69bec5b005d71da2b7b16a3de31dac4;0;0;0;0;0;0;0;0;0;99;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;NA
132ba72ea7d5516a66b27b4328778a2b;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;39;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;unidentified
c8cc0a4af9f1ee1b6d4851fb73ed6912;12;10;13;15;8;0;9;0;0;0;0;10;0;6;6;8;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured;uncultured_bacterium
1befc77b7e0b0f10dcc5881704e9db92;6;13;16;14;12;11;0;0;0;0;0;9;0;0;6;10;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
03c9767edaac5ecee0a0bb25c0fbda6d;0;0;0;17;0;0;0;0;0;9;0;9;37;0;16;8;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured;NA
56f336199a7d1408d990df992b5e3cf4;0;0;13;82;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;NA
544a6dc6cc7d4dfea1ec0dec83c715bc;0;15;33;0;0;0;11;0;6;0;0;14;0;0;15;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_FCS020_group;uncultured_bacterium
0eba0dfaf3894d0cb8ae783668b2816b;0;0;0;5;14;13;25;36;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
c4fb58da9aff3c83c971c488ebd3cb70;0;0;0;36;0;0;17;0;39;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575;uncultured_bacterium
07fe146a1e0df90b9381a567078cd960;0;0;0;0;0;0;0;0;0;0;0;0;13;22;26;28;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
81d94e5a594a409a3d53d22736faf9a6;12;0;16;46;0;0;0;14;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
1099950f329f9b0cc24b900fcc0a0d89;2;0;41;40;0;0;3;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
a9d95652b8d02f4b4498f480cc8d2f94;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;NA
6a005e3bf1e6d2b353980de5f4fe86fa;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;0;d__Bacteria;Nitrospirota;4-29-1;4-29-1;4-29-1;4-29-1;uncultured_bacterium
4abd871c7dc99377a7a60bfa334bdd63;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;d__Bacteria;Bacteroidota;SJA-28;SJA-28;SJA-28;SJA-28;uncultured_bacterium
6e019166f485dbd32194a2d44edc4df1;0;18;14;28;17;0;0;0;0;0;5;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured;uncultured_bacterium
ff4764132b8938ee8ba5cf5cd156be12;8;4;11;6;0;14;10;9;5;0;0;0;0;9;0;5;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;NA
6ea7ddd260cdefc7a2d0a8b4134308e9;6;10;12;8;0;0;0;0;11;21;13;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_UCG-006;uncultured_bacterium
24f3529d950026b9cab9c88ad08c6713;58;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
f53aeb5a124d986af7766210d158019b;11;0;7;14;6;8;20;14;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;uncultured_bacterium
03827d6322ebbc35fd780b2d59d01775;0;0;0;0;26;0;24;30;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
dd80586956db79d480f6a5cd69017286;13;21;23;22;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;uncultured;uncultured_bacterium
d63a7c2a673ebd7f10c9c42f4375fc92;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;uncultured;uncultured_bacterium
33ebd1d233a340ffeefdc90cf5cc2c7a;0;0;0;0;0;0;0;0;0;79;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;NA;NA
3f4c4af6eb079b4e1bff4ae49f80a88c;23;0;18;0;0;0;0;0;0;0;0;0;0;37;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
ff01a402193bb87b75a8c76f74c10cba;0;4;0;0;25;16;0;12;6;0;0;0;0;6;0;8;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;uncultured_Clostridia
b55789d190668eac5038c1059d9976c6;0;0;0;0;0;39;38;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
60fe35701a1edbf14411eb5085c422da;0;0;0;0;0;0;0;0;0;77;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;uncultured;NA
cd33d521d1dfcb297336e993ca998d2d;0;0;0;27;0;0;21;28;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
f00cdc1d554f3a63697e379043cdd355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
d41ab946751b502a9feb786fbd41c0ce;0;0;0;0;0;0;0;0;0;73;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;uncultured_Bacteroidetes
6ded34f7b682053ff5b9b7e4ef929a22;16;0;34;11;0;0;11;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
903d872b990b15ce75adf131c9f8db50;0;13;18;36;5;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
ad677a22e697a41d2898012e4535e10d;0;10;26;0;13;0;0;16;0;0;0;0;7;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;unidentified
2ddd8484d8b9d59c70c0c284709eccb9;0;0;4;11;0;0;8;9;8;8;7;8;0;0;9;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
a0c7a7945d68ec47cab4fb6d5d3c6757;0;14;46;11;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;NA
5d2f0d410604218eab1553c0ba95e87b;0;10;15;12;0;0;0;0;7;2;0;23;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax;uncultured_bacterium
c104ab77c1fb3c9bbb9eb87be07cf56b;0;0;0;0;0;0;0;0;0;0;0;0;41;0;0;28;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;unidentified
49fa18d00d856ce0514e44084a813a83;0;0;0;0;0;13;9;8;0;0;0;0;0;5;15;18;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;uncultured_bacterium
6a6037899a3a1f972d07bc83e4a7962a;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;d__Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;WD2101_soil_group;NA
dd041a558a96d0b2d876aaf7161cb033;0;0;0;0;0;0;0;0;0;67;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;NA
d69ec305e55c09fb5227943d19503f8b;0;11;11;44;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;Clostridium_sp.
9b10f4bb6f746636822552b28d3dbf39;0;6;0;0;38;8;6;8;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
b12c5e0d05fd628839f6c1e8d61b0253;0;0;0;0;0;0;0;0;0;66;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;NA
50be19a8d2830242681ea095a3b01b5a;0;0;14;0;23;6;11;11;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured;NA
0e8e124ac1e1d659288250f185095b9b;0;0;0;0;28;0;37;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;uncultured_bacterium
603deec24c79650da58dc9ba313d7607;3;0;6;8;4;0;0;5;5;9;5;8;0;8;0;3;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;NA
2a1e15ef4712e1b6e11541b4b517ea4d;3;4;4;8;0;0;0;10;0;4;3;0;15;0;9;4;d__Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium]_brachy_group;uncultured_bacterium
2828087ca148915f42473e68d8beb869;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;d__Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;NA;NA
093d179c25088602a53ed295840a666f;0;0;0;0;0;0;0;0;0;63;0;0;0;0;0;0;d__Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;uncultured_Chitinophagaceae
4df9049f0cca0976b2a83149f5f95794;0;25;15;22;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;uncultured_bacterium
cffd8f7b44bd7d963294d60cc67092dd;0;0;0;0;0;7;0;0;0;0;0;0;26;9;20;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
3840e7e410998cdcd2ed4745887adb3e;0;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Colidextribacter;NA
0620c11756668d801514b15f84f05d11;12;0;18;0;0;0;0;0;8;0;10;12;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
aba1cff36d143c920f23217bf00b3421;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;NA
7b74b5f2921bc1b92925a578ac0ebf36;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;d__Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;uncultured;metagenome
ab562aadf89a7b6e0439c1309aac25c4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
e175ffa8dcd0c86ee36d1cf2e0bb16e0;0;0;13;23;10;0;0;13;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
c64becc24d4e22807392639b34f6a590;0;0;0;0;0;0;0;0;30;9;9;0;11;0;0;0;d__Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
439b685c8201e981b70493301ab305f0;0;0;5;0;0;0;0;0;25;0;0;0;0;22;6;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;unidentified
7df13f3259d8cfee23955713493327d7;0;0;0;0;0;0;0;9;18;5;2;0;0;8;16;0;d__Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group;uncultured_bacterium
0d39d0eb097e6a66bf998d727bd2dc3f;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;d__Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41;NA
43bf4b9ef5052bb95df21cd1f463ec5b;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;d__Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;NA
d4390459bba251e4981e32bd96def7dd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;d__Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014;Clostridia_UCG-014;NA
