"";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"N11";"N12";"S1";"S2";"S3";"S4";"S5";"S6";"S7";"S8";"S9";"S10";"S11";"S12";"S13";"S14";"S15";"S16";"S17";"S18";"S19";"S20";"S21";"S22";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"46b5e7a950e19a9ff42398bb94f5b427";"3";"0";"0";"0";"4";"0";"0";"0";"0";"0";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";"Cephaloticoccus";NA
"c3476e78b720533a2cdceb2001244b45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"5";"64";"75";"38";"0";"3";"6";"11";"32";"11";"3";"0";"0";"0";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";"IMCC26134";NA
"04adf1e001bdaad0616e299daeba4936";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Puniceicoccaceae";"Verruc-01";NA
"075bc414cb55c12ad389dd6735490d7a";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"4";"5";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Puniceicoccaceae";"Cerasicoccus";NA
"c958a9390aae15ce4875dbe45af67c82";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Opitutales";"Opitutaceae";"Alterococcus";NA
"ace078b30636d820a12128b4877d0cc8";"0";"0";"0";"0";"51";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Campilobacterota";"Campylobacteria";"Campylobacterales";"Arcobacteraceae";"uncultured";NA
"12f424753516c34ec248982406945990";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"d__Bacteria";"Campilobacterota";"Campylobacteria";"Campylobacterales";"Arcobacteraceae";"Pseudarcobacter";NA
"dcd4030bd55a4bbc6d5d935b8ba2797d";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"d__Bacteria";"Campilobacterota";"Campylobacteria";"Campylobacterales";"Arcobacteraceae";"Arcobacter";NA
"a34513c2642501ee346a0465fd9ad3b1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"14";"11";"4";"6";"0";"4";"12";"5";"12";"6";"8";"8";"10";"4";"d__Bacteria";"Bacteroidota";"Ignavibacteria";"Ignavibacteriales";"Melioribacteraceae";"Melioribacter";NA
"1cbc1541e3f3413834726c0f6583d5ef";"142";"61";"9";"0";"0";"0";"0";"0";"0";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"d__Bacteria";"Bacteroidota";"Ignavibacteria";"Ignavibacteriales";"PHOS-HE36";"PHOS-HE36";NA
"d7cbfdc14ffa3890ee47ec41f91eb042";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"5";"3";"0";"0";"0";"0";"8";"6";"7";"0";"0";"0";"d__Bacteria";"Bacteroidota";"Ignavibacteria";"Ignavibacteriales";"Ignavibacteriaceae";"Ignavibacterium";NA
