;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S14;S15;S16;S17;S18;S19;S20;S21;S22;Kingdom;Phylum;Class;Order;Family;Genus;Species
b83de3365a8e94f96014506e03c05566;0.199188491331612;0.213774274970381;0.0341627284632466;0.0294970748734084;0.0304506699147381;0.014684595858944;0.0252093778885746;0;0.00564620857094461;0;0;0;0;0.00546881408766509;0.00452048911692245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum;NA
f2cbb29998f80ea0d81f9cde98ee136e;0.0393458748309357;0.0231803430690774;0.0113875761544155;0;0;0;0;0;0;0;0;0;0;0.0164064422629953;0.00452048911692245;0;0;0;0;0;0.0187646598905395;0;0;0;0.00955885867227453;0;0.00329905976796613;0.0092378752886836;0;0.00541145062953209;0.0068014872585472;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_1;NA
acae24369aa6c0e39841b2e4ad57f769;0;0;0;0;0;0;0;0;0;0;0;0.0899569491743237;0.0112910510355507;0.0287112739602417;0;0.00799248706216157;0.00460129756591359;0;0;0;0;0;0;0;0;0;0;0;0;0.00541145062953209;0;0;0;d__Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium_sensu_stricto_7;NA
e0d2d410c13601fc5a7a699c16c07453;0.00983646870773392;0;0;0;0.0634388956557044;0.0335647905347291;0.0308114618638133;0;0;0;0.00890345097759892;0.0406948103407655;0.00967804374475772;0.0191408493068278;0.0135614673507674;0.00799248706216157;0.0184051902636544;0.00493011561121108;0.0107998358424952;0.0131816812292859;0.0140734949179046;0.00398268858030428;0.0107240043432218;0.0113973102347846;0.0382354346890981;0.0144394854292465;0.00549843294661022;0.0290333223358628;0.0402876292561439;0.0216458025181284;0.0249387866146731;0.0166306336271412;0.0342067455702264;d__Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured;NA
8a82ec0b5b722b6825a138c1a7d6cb62;0.00737735153080044;0.0128779683717097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;BRH-c20a;BRH-c20a;BRH-c20a;BRH-c20a;NA
3f4d73521ceac5aa678a264fd9e7c9d2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00599436529662118;0;0;0;0;0;0;0;0;0;0;0;0.00263939293962389;0;0;0;0;0;d__Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;NA
93e3fc5f4c04adb9d5e23b3520155baf;0.0221320545924013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Eubacteriales;Alkalibacteraceae;Alkalibacter;NA
ac0c207f77be2ff082e25753bc8a7d55;0.0110660272962007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;uncultured;NA
74158a627d88242451315d39354c8096;0.0184433788270011;0.0154535620460516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;NA
e38c2b714346052929ffe762bb3bf7cb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00469116497263487;0;0;0;0;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;uncultured;NA
2f7dd1d96946ef4c34786898f63f9656;0;0;0;0;0.0126877791311409;0;0;0;0;0;0;0;0;0;0;0;0;0.00986023122242217;0.00431993433699808;0;0;0;0;0;0.00318628622409151;0;0;0;0;0;0;0;0;d__Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae_R-7_group;NA
4a5fc33ce1371dd246353e97bcd2a0e0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0083153168135706;0;d__Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA
